                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97226,                 1.7448,                 1.2168,                0.95042,                0.87866,                0.96601,                0.70118,                 1.0231,                 2.1867,                 1.2104,             0.00054737,             0.00054737,             0.00054737
                      2,                0.79578,                0.99405,                 1.0541,                0.92712,                0.95266,                0.97698,                0.74781,                0.88686,                 1.3616,                 1.1078,             0.00073904,             0.00073904,             0.00073904
                      3,                0.70284,                0.83169,                 1.0066,                0.97331,                0.99022,                0.98952,                0.83832,                0.67697,                0.91583,                0.96754,             0.00056396,             0.00056396,             0.00056396
